b_M,b_W
"(2, 3)",0.9090909090909091
"(13, 3)",0.8429752066115702
"(9, 10)",0.8512396694214877
"(4, 5)",0.9669421487603306
"(9, 14)",0.7272727272727273
"(14, 10)",0.7933884297520661
"(12, 14)",0.8760330578512396
"(2, 5)",0.9338842975206612
"(7, 12)",0.8181818181818182
"(3, 12)",0.8347107438016529
"(12, 8)",0.768595041322314
"(12, 4)",0.8264462809917356
"(8, 14)",0.8842975206611571
"(5, 6)",0.8677685950413223
"(7, 7)",0.9669421487603306
"(7, 9)",0.8264462809917356
"(4, 9)",0.8842975206611571
"(11, 14)",0.743801652892562
"(10, 7)",0.9421487603305785
"(14, 12)",0.6859504132231405
"(6, 13)",0.8760330578512396
"(10, 9)",0.9338842975206612
"(8, 2)",0.6446280991735537
"(8, 3)",0.8925619834710744
"(2, 13)",0.9256198347107438
"(9, 13)",0.7768595041322314
"(13, 7)",0.8512396694214877
"(9, 12)",0.7107438016528925
"(7, 8)",0.7768595041322314
"(5, 12)",0.8347107438016529
"(12, 13)",0.9008264462809917
"(3, 4)",0.8347107438016529
"(12, 11)",0.9421487603305785
"(10, 4)",0.7933884297520661
"(14, 7)",0.859504132231405
"(7, 2)",0.6776859504132231
"(3, 11)",0.8181818181818182
"(13, 4)",0.768595041322314
"(2, 14)",0.9256198347107438
"(14, 4)",0.7520661157024794
"(7, 3)",0.9256198347107438
"(8, 15)",0.8677685950413223
"(8, 13)",0.8842975206611571
"(4, 12)",0.9173553719008265
"(5, 10)",0.7933884297520661
"(6, 15)",0.8429752066115702
"(3, 3)",0.9421487603305785
"(14, 8)",0.7355371900826446
"(5, 8)",0.8677685950413223
"(13, 14)",0.7272727272727273
"(9, 4)",0.7603305785123967
"(8, 6)",0.8099173553719008
"(6, 9)",0.9090909090909091
"(11, 5)",0.9421487603305785
"(15, 14)",0.7024793388429752
"(5, 15)",0.8016528925619835
"(13, 13)",0.8264462809917356
"(7, 13)",0.7603305785123967
"(8, 4)",0.8181818181818182
"(11, 12)",0.8429752066115702
"(15, 8)",0.6363636363636364
"(6, 14)",0.8925619834710744
"(13, 11)",0.9338842975206612
"(13, 2)",0.7107438016528925
"(5, 2)",0.8016528925619835
"(15, 2)",0.6694214876033058
"(11, 7)",0.8429752066115702
"(3, 14)",0.8016528925619835
"(13, 8)",0.7024793388429752
"(11, 3)",0.8677685950413223
"(6, 10)",0.9338842975206612
"(10, 6)",0.8181818181818182
"(6, 12)",0.8677685950413223
"(9, 9)",0.8842975206611571
"(9, 5)",0.8677685950413223
"(7, 14)",0.7520661157024794
"(4, 14)",0.8925619834710744
"(13, 6)",0.743801652892562
"(3, 5)",0.9008264462809917
"(15, 9)",0.8512396694214877
"(4, 8)",0.9586776859504132
"(13, 9)",0.8842975206611571
"(4, 10)",0.9173553719008265
"(15, 12)",0.6942148760330579
"(2, 2)",0.8677685950413223
"(10, 13)",0.8677685950413223
"(2, 12)",0.9173553719008265
"(11, 11)",0.9090909090909091
"(5, 11)",0.8264462809917356
"(15, 13)",0.8347107438016529
"(8, 10)",0.9090909090909091
"(6, 3)",0.9504132231404959
"(12, 7)",0.9090909090909091
"(11, 4)",0.7851239669421488
"(11, 15)",0.6942148760330579
"(14, 9)",0.8842975206611571
"(3, 15)",0.768595041322314
"(3, 8)",0.8429752066115702
"(10, 5)",0.9504132231404959
"(12, 15)",0.8347107438016529
"(11, 2)",0.6776859504132231
"(14, 15)",0.7768595041322314
"(15, 3)",0.8842975206611571
"(5, 7)",0.859504132231405
"(8, 8)",0.8925619834710744
"(15, 15)",1.0
"(14, 2)",0.7355371900826446
"(15, 5)",0.8429752066115702
"(11, 6)",0.7024793388429752
"(15, 10)",0.6776859504132231
"(7, 6)",0.7768595041322314
"(5, 5)",0.9586776859504132
"(5, 13)",0.8429752066115702
"(13, 15)",0.6776859504132231
"(10, 12)",0.8677685950413223
"(12, 12)",0.8842975206611571
"(3, 13)",0.8264462809917356
"(12, 2)",0.6528925619834711
"(2, 6)",0.9008264462809917
"(4, 6)",0.9256198347107438
"(9, 15)",0.71900826446281
"(6, 6)",0.9421487603305785
"(8, 9)",0.9504132231404959
"(3, 10)",0.8181818181818182
"(3, 2)",0.8347107438016529
"(4, 2)",0.7933884297520661
"(12, 3)",0.9504132231404959
"(6, 7)",0.9421487603305785
"(15, 6)",0.743801652892562
"(3, 9)",0.7933884297520661
"(9, 6)",0.8842975206611571
"(11, 8)",0.7272727272727273
"(7, 4)",0.7933884297520661
"(6, 4)",0.8016528925619835
"(8, 7)",0.9421487603305785
"(14, 3)",0.8760330578512396
"(12, 5)",0.8842975206611571
"(4, 4)",0.9090909090909091
"(2, 9)",0.9173553719008265
"(2, 15)",0.9338842975206612
"(6, 8)",0.9090909090909091
"(9, 11)",0.8512396694214877
"(9, 8)",0.8429752066115702
"(15, 11)",0.8842975206611571
"(13, 12)",0.7603305785123967
"(14, 14)",0.9008264462809917
"(8, 11)",0.9338842975206612
"(2, 4)",0.9338842975206612
"(12, 6)",0.7768595041322314
"(10, 8)",0.8347107438016529
"(9, 3)",0.9338842975206612
"(10, 3)",0.8925619834710744
"(9, 7)",0.8677685950413223
"(14, 11)",0.9338842975206612
"(6, 5)",0.9338842975206612
"(4, 13)",0.8925619834710744
"(5, 4)",0.8512396694214877
"(4, 3)",0.9421487603305785
"(12, 9)",0.9256198347107438
"(14, 5)",0.8677685950413223
"(14, 13)",0.9173553719008265
"(13, 5)",0.9008264462809917
"(13, 10)",0.7520661157024794
"(7, 5)",0.9008264462809917
"(6, 11)",0.8925619834710744
"(5, 9)",0.8429752066115702
"(2, 8)",0.9338842975206612
"(2, 11)",0.9173553719008265
"(4, 7)",0.9504132231404959
"(7, 15)",0.8099173553719008
"(12, 10)",0.8347107438016529
"(7, 10)",0.7933884297520661
"(10, 15)",0.8677685950413223
"(9, 2)",0.6694214876033058
"(4, 11)",0.9173553719008265
"(15, 4)",0.7520661157024794
"(5, 3)",0.9669421487603306
"(10, 14)",0.8677685950413223
"(2, 7)",0.9338842975206612
"(6, 2)",0.7107438016528925
"(11, 10)",0.7603305785123967
"(10, 10)",0.9256198347107438
"(10, 2)",0.6115702479338843
"(10, 11)",0.9338842975206612
"(11, 9)",0.8842975206611571
"(8, 5)",0.9090909090909091
"(7, 11)",0.7933884297520661
"(4, 15)",0.9173553719008265
"(3, 6)",0.859504132231405
"(2, 10)",0.8842975206611571
"(3, 7)",0.8925619834710744
"(14, 6)",0.7355371900826446
"(15, 7)",0.8181818181818182
"(11, 13)",0.8264462809917356
"(8, 12)",0.9008264462809917
"(5, 14)",0.768595041322314
